Ad_ID;Campaign_Name;Clicks;Impressions;Cost;Leads;Conversions;Conversion Rate;Sale_Amount;Ad_Date;Location;Device;Keyword
A1071;Data Analytics Course;1800;30060;22814;220;70;39;1556;04/11/2024;Hyderabad;Tablet;Learn Data Analytics
A1073;Data Analytics Course;1640;37340;22539;270;80;4;1728;12/11/2024;Hyderabad;Tablet;Learn Data Analytics
A1074;Data Analytics Course;1500;46210;2463;150;60;49;1554;09/11/2024;Hyderabad;Desktop;Data Analitics Online
A1075;Data Analytics Course;970;32120;21255;270;100;103;1994;23/11/2024;Hyderabad;Desktop;Analytics For Data
A1076;Data Analytics Course;1280;42250;22824;300;40;31;1618;08/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1077;Data Analytics Course;990;47790;23378;260;100;101;1086;05/11/2024;Hyderabad;Desktop;Online Data Analytic
A1078;Data Analytics Course;860;53520;23405;110;50;58;1364;09/11/2024;Hyderabad;Tablet;Online Data Analytic
A1079;Data Analytics Course;1180;54050;18728;250;70;58;1836;05/11/2024;Hyderabad;Tablet;Analytics For Data
A1080;Data Analytics Course;1270;54300;19913;140;60;47;1932;25/11/2024;Hyderabad;Mobile;Analytics For Data
A1081;Data Analytics Course;830;48080;24135;200;70;84;1038;30/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1083;Data Analytics Course;1680;46830;21528;300;80;48;1327;28/11/2024;Hyderabad;Mobile;Data Analitics Online
A1084;Data Analytics Course;1120;58140;22738;110;80;71;1467;03/11/2024;Hyderabad;Tablet;Analytics For Data
A1085;Data Analytics Course;1230;32920;2332;280;60;49;1174;19/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1086;Data Analytics Course;1740;43050;20602;200;30;34;1057;23/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1088;Data Analytics Course;1950;59350;20968;230;90;46;1966;07/11/2024;Hyderabad;Tablet;Online Data Analytic
A1089;Data Analytics Course;1760;58470;24104;130;60;34;1194;02/11/2024;Hyderabad;Desktop;Online Data Analytic
A1091;Data Analytics Course;1080;47100;20416;190;100;93;1731;20/11/2024;Hyderabad;Tablet;Data Analitics Online
A1094;Data Analytics Course;1450;50040;21645;220;50;34;1496;01/11/2024;Hyderabad;Tablet;Data Analitics Online
A1095;Data Analytics Course;1830;39470;1973;150;80;44;1645;14/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1096;Data Analytics Course;1130;36900;22942;200;50;44;1915;28/11/2024;Hyderabad;Tablet;Learn Data Analytics
A1097;Data Analytics Course;1010;59430;18732;270;60;59;1614;15/11/2024;Hyderabad;Tablet;Data Analitics Online
A1098;Data Analytics Course;1890;53570;2225;240;30;5;1839;25/11/2024;Hyderabad;Tablet;Data Analytics Course
A1099;Data Analytics Course;1540;35960;23614;300;90;58;1036;06/11/2024;Hyderabad;Tablet;Online Data Analytic
A1100;Data Analytics Course;1790;51620;24676;160;50;5;1052;29/11/2024;Hyderabad;Desktop;Online Data Analytic
A1101;Data Analytics Course;1480;37470;24441;180;80;54;1092;17/11/2024;Hyderabad;Tablet;Learn Data Analytics
A1102;Data Analytics Course;1770;48220;19703;260;90;51;1909;04/11/2024;Hyderabad;Mobile;Online Data Analytic
A1105;Data Analytics Course;1460;47650;23022;230;50;34;1944;28/11/2024;Hyderabad;Tablet;Analytics For Data
A1107;Data Analytics Course;1590;51270;19716;210;40;25;1867;03/11/2024;Hyderabad;Tablet;Learn Data Analytics
A1108;Data Analytics Course;1440;56740;23536;120;30;21;1505;22/11/2024;Hyderabad;Desktop;Analytics For Data
A1109;Data Analytics Course;1220;37930;23722;190;80;66;1842;20/11/2024;Hyderabad;Tablet;Online Data Analytic
A1110;Data Analytics Course;1120;43150;23533;280;90;8;1116;08/11/2024;Hyderabad;Mobile;Data Analytics Course
A1111;Data Analytics Course;1740;47040;19232;210;100;49;1501;24/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1112;Data Analytics Course;1680;33490;2356;230;90;54;1894;09/11/2024;Hyderabad;Mobile;Online Data Analytic
A1113;Data Analytics Course;1730;35010;2239;280;100;44;1179;25/11/2024;Hyderabad;Mobile;Data Analytics Course
A1116;Data Analytics Course;930;34250;22976;260;40;43;1344;24/11/2024;Hyderabad;Mobile;Online Data Analytic
A1117;Data Analytics Course;1140;52630;18913;230;50;44;1434;05/11/2024;Hyderabad;Mobile;Data Analytics Course
A1119;Data Analytics Course;1880;33270;19376;240;60;47;1220;03/11/2024;Hyderabad;Tablet;Online Data Analytic
A1121;Data Analytics Course;1130;54710;21557;270;90;38;1123;23/11/2024;Hyderabad;Mobile;Analytics For Data
A1122;Data Analytics Course;1090;35500;24033;140;80;73;1982;24/11/2024;Hyderabad;Tablet;Learn Data Analytics
A1123;Data Analytics Course;1740;31780;22567;180;100;57;1140;20/11/2024;Hyderabad;Desktop;Data Analitics Online
A1124;Data Analytics Course;960;46730;19288;240;50;52;1962;10/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1126;Data Analytics Course;1630;36580;23763;230;70;43;1699;23/11/2024;Hyderabad;Tablet;Online Data Analytic
A1127;Data Analytics Course;1610;53190;23598;130;40;25;1423;18/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1128;Data Analytics Course;1950;52780;19349;300;70;47;1456;04/11/2024;Hyderabad;Mobile;Data Analytics Course
A1129;Data Analytics Course;840;37550;21888;140;90;47;1299;05/11/2024;Hyderabad;Tablet;Analytics For Data
A1130;Data Analytics Course;1130;45800;19482;110;60;59;1248;28/11/2024;Hyderabad;Tablet;Data Analytics Course
A1131;Data Analytics Course;1170;38090;22514;120;50;32;1495;09/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1132;Data Analytics Course;1350;51180;21999;270;60;44;1089;20/11/2024;Hyderabad;Mobile;Online Data Analytic
A1133;Data Analytics Course;920;57660;18614;280;70;76;1013;27/11/2024;Hyderabad;Tablet;Data Anaytics Training
A1135;Data Analytics Course;1010;47240;22838;130;70;34;1243;20/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1136;Data Analytics Course;1110;58950;20525;290;40;36;1693;04/11/2024;Hyderabad;Mobile;Data Analytics Course
A1139;Data Analytics Course;1540;45350;22929;110;30;19;1434;01/11/2024;Hyderabad;Tablet;Data Anaytics Training
A1140;Data Analytics Course;1290;38490;24929;220;100;78;1767;11/11/2024;Hyderabad;Desktop;Analytics For Data
A1144;Data Analytics Course;1340;37240;18802;260;90;47;1891;07/11/2024;Hyderabad;Desktop;Online Data Analytic
A1145;Data Analytics Course;1740;48380;24235;210;30;17;1599;22/11/2024;Hyderabad;Desktop;Data Analitics Online
A1146;Data Analytics Course;1960;45240;19201;150;80;41;1048;13/11/2024;Hyderabad;Desktop;Data Analytics Course
A1147;Data Analytics Course;1940;46940;22815;170;70;36;1874;14/11/2024;Hyderabad;Tablet;Learn Data Analytics
A1149;Data Analytics Course;1000;42350;22261;100;80;51;1814;01/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1150;Data Analytics Course;1530;43670;18451;290;90;59;1507;13/11/2024;Hyderabad;Mobile;Analytics For Data
A1151;Data Analytics Course;1100;37480;19868;240;90;82;1041;05/11/2024;Hyderabad;Tablet;Data Anaytics Training
A1153;Data Analytics Course;1560;33350;23698;290;70;45;1143;14/11/2024;Hyderabad;Desktop;Data Analytics Course
A1154;Data Analytics Course;1770;56710;21074;190;60;58;1172;25/11/2024;Hyderabad;Tablet;Data Analytics Course
A1155;Data Analytics Course;890;34080;21478;250;90;101;1898;15/11/2024;Hyderabad;Mobile;Data Analytics Course
A1156;Data Analytics Course;1550;44220;18396;140;80;37;1143;15/11/2024;Hyderabad;Mobile;Analytics For Data
A1157;Data Analytics Course;1230;30970;19055;200;80;65;1640;22/11/2024;Hyderabad;Tablet;Data Analytics Course
A1158;Data Analytics Course;1020;36210;24482;100;50;49;1375;12/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1161;Data Analytics Course;1430;39010;19138;290;40;53;1786;24/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1162;Data Analytics Course;1780;46730;22246;290;60;51;1219;04/11/2024;Hyderabad;Tablet;Online Data Analytic
A1165;Data Analytics Course;1750;50140;24724;250;70;4;1499;15/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1166;Data Analytics Course;920;41850;21846;210;90;35;1567;03/11/2024;Hyderabad;Mobile;Data Analitics Online
A1168;Data Analytics Course;860;51240;18371;130;100;116;1137;20/11/2024;Hyderabad;Mobile;Data Anaytics Training
A1169;Data Analytics Course;1170;41620;23808;280;100;85;1186;22/11/2024;Hyderabad;Mobile;Online Data Analytic
A1170;Data Analytics Course;1460;43300;1919;200;30;21;1748;09/11/2024;Hyderabad;Mobile;Online Data Analytic
A1172;Data Analytics Course;1950;34830;21399;270;70;36;1796;23/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1173;Data Analytics Course;1700;45190;24063;220;70;41;1012;27/11/2024;Hyderabad;Mobile;Analytics For Data
A1174;Data Analytics Course;970;36050;24029;210;70;45;1682;10/11/2024;Hyderabad;Desktop;Data Analitics Online
A1175;Data Analytics Course;1590;50760;20497;150;100;63;1638;17/11/2024;Hyderabad;Tablet;Data Analytics Course
A1177;Data Analytics Course;1080;55030;18526;110;70;65;1921;06/11/2024;Hyderabad;Mobile;Data Analitics Online
A1178;Data Analytics Course;930;43080;20983;190;90;97;1694;20/11/2024;Hyderabad;Mobile;Data Analytics Course
A1180;Data Analytics Course;810;56150;19314;300;60;74;1255;28/11/2024;Hyderabad;Mobile;Analytics For Data
A1181;Data Analytics Course;1600;47430;20622;230;100;62;1825;20/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1182;Data Analytics Course;1860;33370;18358;160;80;43;1045;30/11/2024;Hyderabad;Desktop;Online Data Analytic
A1183;Data Analytics Course;1050;32340;2388;270;100;95;1248;06/11/2024;Hyderabad;Desktop;Online Data Analytic
A1185;Data Analytics Course;1290;32080;2042;180;80;32;1456;29/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1186;Data Analytics Course;1870;59720;22064;300;70;37;1980;14/11/2024;Hyderabad;Desktop;Data Analytics Course
A1187;Data Analytics Course;1670;36620;23543;100;70;42;1684;25/11/2024;Hyderabad;Mobile;Data Anaytics Training
A1188;Data Analytics Course;1400;33590;18213;290;70;45;1973;28/11/2024;Hyderabad;Desktop;Data Analitics Online
A1190;Data Analytics Course;1960;38350;21807;100;90;41;1871;04/11/2024;Hyderabad;Tablet;Online Data Analytic
A1192;Data Analytics Course;1570;58250;2306;160;30;19;1041;16/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1193;Data Analytics Course;910;54280;24838;110;30;33;1835;22/11/2024;Hyderabad;Tablet;Learn Data Analytics
A1194;Data Analytics Course;1400;35710;23812;210;90;64;1762;16/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1195;Data Analytics Course;1540;36380;18217;110;80;56;1413;04/11/2024;Hyderabad;Mobile;Online Data Analytic
A1196;Data Analytics Course;1330;45050;20052;230;30;39;1562;26/11/2024;Hyderabad;Tablet;Analytics For Data
A1198;Data Analytics Course;1410;30710;2082;100;60;43;1647;18/11/2024;Hyderabad;Tablet;Data Analitics Online
A1200;Data Analytics Course;1990;50670;24738;240;80;59;1365;19/11/2024;Hyderabad;Mobile;Analytics For Data
A1201;Data Analytics Course;1380;39710;18487;280;30;22;1718;07/11/2024;Hyderabad;Tablet;Learn Data Analytics
A1202;Data Analytics Course;1750;44810;23638;210;100;57;1257;20/11/2024;Hyderabad;Desktop;Data Analytics Course
A1203;Data Analytics Course;1700;54760;18629;250;40;24;1731;08/11/2024;Hyderabad;Mobile;Analytics For Data
A1204;Data Analytics Course;1380;44260;20375;240;100;72;1838;05/11/2024;Hyderabad;Mobile;Data Analytics Course
A1205;Data Analytics Course;1080;40800;2478;180;40;37;1363;30/11/2024;Hyderabad;Tablet;Online Data Analytic
A1206;Data Analytics Course;1500;41130;21967;120;70;47;1196;22/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1207;Data Analytics Course;900;51190;22658;140;100;111;1348;07/11/2024;Hyderabad;Desktop;Analytics For Data
A1209;Data Analytics Course;1300;33270;22483;130;30;23;1668;16/11/2024;Hyderabad;Mobile;Online Data Analytic
A1214;Data Analytics Course;1830;40010;23785;230;40;22;1430;21/11/2024;Hyderabad;Mobile;Online Data Analytic
A1215;Data Analytics Course;1260;42060;23376;290;100;41;1998;06/11/2024;Hyderabad;Tablet;Online Data Analytic
A1217;Data Analytics Course;920;40420;20075;150;70;76;1234;24/11/2024;Hyderabad;Tablet;Learn Data Analytics
A1219;Data Analytics Course;920;37480;20815;140;80;87;1297;02/11/2024;Hyderabad;Desktop;Analytics For Data
A1220;Data Analytics Course;1350;34800;22494;110;40;3;1398;23/11/2024;Hyderabad;Tablet;Data Analitics Online
A1221;Data Analytics Course;1770;30070;22322;300;80;45;1766;02/11/2024;Hyderabad;Mobile;Data Analitics Online
A1222;Data Analytics Course;1170;33800;18673;210;100;55;1958;19/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1223;Data Analytics Course;1270;48230;19469;110;100;57;1496;15/11/2024;Hyderabad;Desktop;Data Analytics Course
A1224;Data Analytics Course;1320;44900;20245;100;70;53;1441;10/11/2024;Hyderabad;Mobile;Data Analitics Online
A1225;Data Analytics Course;1020;51490;22948;270;90;88;1137;26/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1231;Data Analytics Course;1780;44410;23197;220;40;22;1886;24/11/2024;Hyderabad;Mobile;Analytics For Data
A1234;Data Analytics Course;950;45620;18762;240;90;95;1239;26/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1236;Data Analytics Course;1920;58520;18105;160;80;42;1600;21/11/2024;Hyderabad;Desktop;Analytics For Data
A1238;Data Analytics Course;1910;46120;23823;200;100;52;1531;01/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1239;Data Analytics Course;1470;58810;19634;230;70;48;1614;18/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1240;Data Analytics Course;1000;52040;19753;260;40;4;1675;24/11/2024;Hyderabad;Tablet;Data Analytics Course
A1242;Data Analytics Course;1230;52310;20293;300;100;81;1551;23/11/2024;Hyderabad;Desktop;Online Data Analytic
A1243;Data Analytics Course;1650;59800;24841;170;30;18;1803;06/11/2024;Hyderabad;Tablet;Online Data Analytic
A1244;Data Analytics Course;1670;32020;21487;260;60;36;1571;12/11/2024;Hyderabad;Desktop;Data Analitics Online
A1245;Data Analytics Course;1110;58470;19671;210;90;81;1445;30/11/2024;Hyderabad;Mobile;Online Data Analytic
A1248;Data Analytics Course;1660;55920;18303;220;40;24;1636;22/11/2024;Hyderabad;Tablet;Online Data Analytic
A1250;Data Analytics Course;1060;58300;2419;290;100;35;1897;02/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1253;Data Analytics Course;1870;38000;2410;160;80;43;1842;09/11/2024;Hyderabad;Mobile;Analytics For Data
A1254;Data Analytics Course;950;40960;24269;260;90;95;1550;22/11/2024;Hyderabad;Tablet;Online Data Analytic
A1255;Data Analytics Course;1180;35620;2315;120;30;25;1856;19/11/2024;Hyderabad;Desktop;Data Analytics Course
A1257;Data Analytics Course;1460;54110;20176;280;70;48;1393;14/11/2024;Hyderabad;Desktop;Data Analitics Online
A1258;Data Analytics Course;1010;40260;21968;220;90;89;1149;15/11/2024;Hyderabad;Desktop;Analytics For Data
A1259;Data Analytics Course;1850;37160;21823;270;70;56;1015;03/11/2024;Hyderabad;Desktop;Online Data Analytic
A1260;Data Analytics Course;1470;51620;18679;300;70;48;1733;25/11/2024;Hyderabad;Desktop;Analytics For Data
A1261;Data Analytics Course;1880;38590;21183;300;90;48;1719;28/11/2024;Hyderabad;Mobile;Online Data Analytic
A1264;Data Analytics Course;1700;31240;23492;170;30;18;1232;11/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1265;Data Analytics Course;1140;50170;24262;110;60;53;1303;17/11/2024;Hyderabad;Mobile;Data Analitics Online
A1266;Data Analytics Course;1860;34240;20181;270;30;16;1337;26/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1267;Data Analytics Course;1200;40600;21095;240;90;75;1376;05/11/2024;Hyderabad;Tablet;Data Analitics Online
A1268;Data Analytics Course;1300;56880;21205;210;50;38;1454;17/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1269;Data Analytics Course;1780;50290;18979;250;80;45;1510;09/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1270;Data Analytics Course;1960;54760;20463;190;40;2;1288;26/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1271;Data Analytics Course;1100;50000;19789;180;30;27;1110;12/11/2024;Hyderabad;Desktop;Online Data Analytic
A1272;Data Analytics Course;950;41410;20714;220;30;54;1929;11/11/2024;Hyderabad;Tablet;Learn Data Analytics
A1274;Data Analytics Course;1000;41680;1936;300;30;3;1692;25/11/2024;Hyderabad;Desktop;Online Data Analytic
A1275;Data Analytics Course;1870;37410;22611;270;100;53;1342;14/11/2024;Hyderabad;Tablet;Learn Data Analytics
A1276;Data Analytics Course;900;35770;23354;240;50;52;1175;14/11/2024;Hyderabad;Tablet;Analytics For Data
A1278;Data Analytics Course;1290;36110;22782;110;70;54;1250;22/11/2024;Hyderabad;Tablet;Data Anaytics Training
A1279;Data Analytics Course;1200;39470;19349;150;60;5;1305;12/11/2024;Hyderabad;Mobile;Data Anaytics Training
A1281;Data Analytics Course;1450;59730;24216;120;70;48;1508;14/11/2024;Hyderabad;Tablet;Online Data Analytic
A1282;Data Analytics Course;1900;45250;18885;100;50;26;1875;01/11/2024;Hyderabad;Tablet;Data Anaytics Training
A1283;Data Analytics Course;1370;43950;24158;240;40;43;1512;06/11/2024;Hyderabad;Desktop;Online Data Analytic
A1284;Data Analytics Course;1570;30470;22266;190;30;19;1964;01/11/2024;Hyderabad;Mobile;Data Analitics Online
A1285;Data Analytics Course;1050;53480;2261;270;50;48;1003;12/11/2024;Hyderabad;Tablet;Learn Data Analytics
A1286;Data Analytics Course;1490;31010;23144;150;90;6;1126;06/11/2024;Hyderabad;Tablet;Data Anaytics Training
A1287;Data Analytics Course;1590;36930;18709;240;60;38;1256;24/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1290;Data Analytics Course;980;46530;20584;290;50;51;1866;02/11/2024;Hyderabad;Mobile;Data Analitics Online
A1292;Data Analytics Course;1280;57720;23554;200;100;78;1215;04/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1293;Data Analytics Course;1050;58400;23656;220;80;47;1811;24/11/2024;Hyderabad;Tablet;Data Analytics Course
A1295;Data Analytics Course;890;51580;21176;200;50;56;1119;21/11/2024;Hyderabad;Desktop;Online Data Analytic
A1296;Data Analytics Course;1190;34890;19436;140;30;55;1633;10/11/2024;Hyderabad;Mobile;Data Analytics Course
A1297;Data Analytics Course;1730;39770;22982;300;50;37;1584;22/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1299;Data Analytics Course;1120;51940;24597;100;50;45;1016;21/11/2024;Hyderabad;Tablet;Data Anaytics Training
A1300;Data Analytics Course;1340;30070;21753;100;50;37;1371;30/11/2024;Hyderabad;Mobile;Data Anaytics Training
A1301;Data Analytics Course;1130;57210;2167;110;60;53;1743;17/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1302;Data Analytics Course;1570;35460;18911;160;50;32;1333;28/11/2024;Hyderabad;Mobile;Data Analitics Online
A1306;Data Analytics Course;1360;57820;18965;230;60;44;1951;11/11/2024;Hyderabad;Tablet;Data Anaytics Training
A1307;Data Analytics Course;1920;43390;24557;240;80;47;1284;18/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1309;Data Analytics Course;1640;56620;18641;110;90;55;1020;17/11/2024;Hyderabad;Tablet;Data Analytics Course
A1312;Data Analytics Course;1990;52900;21855;200;70;35;1234;30/11/2024;Hyderabad;Tablet;Learn Data Analytics
A1313;Data Analytics Course;820;49610;22029;270;70;59;1149;02/11/2024;Hyderabad;Tablet;Data Analytics Course
A1314;Data Analytics Course;1750;43470;24206;170;30;17;1617;22/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1315;Data Analytics Course;1810;56640;20474;220;50;28;1719;22/11/2024;Hyderabad;Desktop;Data Analytics Course
A1317;Data Analytics Course;1920;42250;2420;240;60;31;1032;01/11/2024;Hyderabad;Mobile;Data Analitics Online
A1318;Data Analytics Course;1490;34100;18112;200;40;33;1806;17/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1319;Data Analytics Course;930;39340;22684;200;60;65;1964;18/11/2024;Hyderabad;Mobile;Data Analitics Online
A1320;Data Analytics Course;1820;33840;18767;180;80;44;1769;01/11/2024;Hyderabad;Desktop;Analytics For Data
A1321;Data Analytics Course;990;38420;2463;230;80;81;1452;10/11/2024;Hyderabad;Tablet;Online Data Analytic
A1323;Data Analytics Course;1930;57860;20151;160;100;52;1617;05/11/2024;Hyderabad;Tablet;Data Anaytics Training
A1324;Data Analytics Course;1070;44230;23947;250;90;84;1370;23/11/2024;Hyderabad;Desktop;Analytics For Data
A1325;Data Analytics Course;1310;42280;23018;160;90;69;1393;07/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1326;Data Analytics Course;1390;51200;1993;240;50;36;1835;23/11/2024;Hyderabad;Mobile;Data Analytics Course
A1327;Data Analytics Course;1410;36000;22754;200;60;43;1367;07/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1329;Data Analytics Course;960;57710;21398;300;30;31;1130;30/11/2024;Hyderabad;Mobile;Analytics For Data
A1331;Data Analytics Course;1870;31150;18461;120;30;16;1324;30/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1332;Data Analytics Course;1530;58860;21833;290;30;2;1424;20/11/2024;Hyderabad;Mobile;Analytics For Data
A1334;Data Analytics Course;1510;43570;23869;280;90;6;1447;13/11/2024;Hyderabad;Tablet;Analytics For Data
A1336;Data Analytics Course;1450;56120;20734;220;40;28;1689;12/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1337;Data Analytics Course;900;32510;19869;120;70;78;1044;30/11/2024;Hyderabad;Mobile;Learn Data Analytics
